beyond,prep.,超出；在…的另一边
big,adj.,大的；重要的
big,adv.,夸大地
bike,n.,自行车；摩托车
bill,v.,给…开账单；宣传
bird,v.,观鸟；喝倒彩
birth,n.,出生；诞生
bit,adj.,微小的
bit,adv.,有点儿
bit,n.,一点儿；少量
bit,v.,咬（bite的过去式）
black,adj.,黑色的；黑暗的
black,n.,黑色
black,v.,把…涂黑
blank,adj.,空白的；茫然的
blank,n.,空白处；空格
blank,v.,脑子变空白；挡住
block,adj.,大块的
blood,n.,血；血液
blood,v.,让…初次经受
blow,v.,吹；刮风；吹奏
blue,n.,蓝色；蓝调音乐
blue,v.,（使）变蓝
board,n.,木板；委员会；膳食
board,v.,上（船、飞机等）；提供膳宿；寄宿
body,n.,身体；主体；尸体
body,v.,赋予…形体
boil,n.,沸点；疖子
boil,v.,煮；（使）沸腾
bookcase,n.,书柜；书架
border,n.,边境；边界
border,v.,与…接壤；近似
bored,adj.,感到无聊的
born,v.,出生（bear的过去分词）
borrow,v.,借
boss,v.,对…发号施令
both,adj.,两个都
both,adv.,都
both,conj.,既…又…
bother,v.,打扰；费心
bottle,v.,把…装入瓶中；抑制
bottom,v.,到达底部；查明…的真相
bow,n.,弓；鞠躬；蝴蝶结
bowl,v.,玩保龄球；投（球）；快速移动
box,n.,盒子；箱子；包厢
box,v.,打拳击；把…装箱
brain,v.,猛击…的头部
brave,n.,勇士
bread,v.,在…上裹面包屑
break,n.,休息；中断；破裂
break,v.,打破；弄坏；休息
bring,v.,带来；拿来；引起
burn,n.,烧伤；灼伤
busy,adj.,忙的；占线的
busy,v.,使忙于
but,adv.,仅仅；只不过
butter,n.,黄油；奶油
buy,n.,划得来的东西
by,adv.,在旁边；经过
by,prep.,通过；被；在…旁边
cage,n.,笼子；牢房
cage,v.,把…关进笼子
cake,n.,蛋糕；块状物
cake,v.,结块；覆盖
calendar,n.,日历；日程表
calendar,v.,把…列入日程表
call,n.,电话；呼叫；呼吁
call,v.,呼叫；打电话；称呼；召集
calm,adj.,平静的；镇静的
calm,n.,平静；镇静
calm,v.,（使）平静；（使）镇静
camera,n.,照相机；摄像机
cancel,v.,取消；抵消
candle,v.,对光检查（禽蛋）
candy,v.,用糖煮；使结晶
cap,v.,覆盖；胜过；限制
capital,adj.,首都的；大写的；主要的
captain,n.,队长；船长；机长
captain,v.,担任队长（或船长、机长）
car,n.,汽车；车厢
carrot,n.,胡萝卜；好处
carry,n.,搬运；射程
